title;;;authors;;;date;;;source;;;abstract;;;link;;;category
NALMO: A Natural Language Interface for Moving Objects Databases;;;['Xieyang Wang', 'Jianqiu Xu', 'Hua Lu'];;;August 2021;;;SSTD '21: Proceedings of the 17th International Symposium on Spatial and Temporal Databases;;;Moving objects databases (MODs) have been extensively studied due to their wide variety of applications including traffic management, tourist service and mobile commerce. However, queries in natural languages are still not supported in MODs. Since most users are not familiar with structured query languages, it is essentially important to bridge the gap between natural languages and the underlying MODs system commands. Motivated by this, we design a natural language interface for moving objects, named NALMO. In general, we use semantic parsing in combination with a location knowledge base and domain-specific rules to interpret natural language queries. We design a corpus of moving objects queries for model training, which is later used to determine the query type. Extracted entities from parsing are mapped through deterministic rules to perform query composition. NALMO is able to well translate moving objects queries into structured (executable) languages. We support four kinds of queries including time interval queries, range queries, nearest neighbor queries and trajectory similarity queries. We develop the system in a prototype system SECONDO and evaluate our approach using 240 natural language queries extracted from popular conference and journal papers in the domain of moving objects. Experimental results show that (i) NALMO achieves accuracy and precision 98.1 and 88.1, respectively, and (ii) the average time cost of translating a query is 1.47s.;;;https://dl.acm.org/doi/10.1145/3469830.3470894;;;Databases
Rethink the Scan in MVCC Databases;;;['Jongbin Kim', 'Kihwang Kim', 'Hyunsoo Cho', 'Jaeseon Yu', 'Sooyong Kang', 'Hyungsoo Jung'];;;June 2021;;;SIGMOD '21: Proceedings of the 2021 International Conference on Management of Data;;;A scan is one of the fundamental operations in databases for retrieving tuples from tables, and research on access methods has been of importance to query optimization. However, our community is aware of the inconvenient truth that its performance may plummet amid steep increases in search costs when acting on MVCC databases since multi-versioning may forfeit all the benefits of using database indexes. An execution plan for a query on multi-versioned data often comprises a series of point lookup operations, of which each internally executes a linear traversal of record versions. Therefore, the generated plan is surprisingly worse than a full table (or version store) scan, mainly due to redundant access to database pages. To address such an all-or-nothing approach, we propose version weaver (vWeaver), a light-weight access method for record versions, that expedites a scan on record versions with each being augmented by just a few pointer fields. vWeaver incrementally constructs a version search structure over even an append-only version store (e.g., undo space) and allows a scan to traverse new version search structures for fast lookup. We applied vWeaver to in-memory and disk-based MVCC databases and demonstrated that the systems with vWeaver generally improved scan performance under various workloads with negligible space overhead.;;;https://dl.acm.org/doi/10.1145/3448016.3452783;;;Databases
Sound of databases: sonification of a semantic web database engine;;;['Sven Groppe', 'Rico Klinckenberg', 'Benjamin Warnke'];;;None;;;Proceedings of the VLDB Endowment;;;Sonifications map data to auditory dimensions and offer a new audible experience to their listeners. We propose a sonification of query processing paired with a corresponding visualization both integrated in a web application. In this demonstration we show that the sonification of different types of relational operators generates different sound patterns, which can be recognized and identified by listeners increasing their understanding of the operators' functionality and supports easy remembering of requirements like merge joins work on sorted input. Furthermore, new ways of analyzing query processing are possible with the sonification approach.;;;https://dl.acm.org/doi/10.14778/3476311.3476322;;;Databases
Machine learning for databases;;;['Guoliang Li', 'Xuanhe Zhou', 'Lei Cao'];;;None;;;Proceedings of the VLDB Endowment;;;Machine learning techniques have been proposed to optimize the databases. For example, traditional empirical database optimization techniques (e.g., cost estimation, join order selection, knob tuning, index and view advisor) cannot meet the high-performance requirement for large-scale database instances, various applications and diversified users, especially on the cloud. Fortunately, machine learning based techniques can alleviate this problem by judiciously selecting optimization strategy. In this tutorial, we categorize database tasks into three typical problems that can be optimized by different machine learning models, including NP-hard problems (e.g., knob space exploration, index/view selection, partition-key recommendation for offline optimization; query rewrite, join order selection for online optimization), regression problems (e.g., cost/cardinality estimation, index/view benefit estimation, query latency prediction), and prediction problems (e.g., query workload prediction). We review existing machine learning based techniques to address these problems and provide research challenges.;;;https://dl.acm.org/doi/10.14778/3476311.3476405;;;Databases
Version Reconciliation for Collaborative Databases;;;['Nalin Ranjan', 'Zechao Shang', 'Sanjay Krishnan', 'Aaron J. Elmore'];;;November 2021;;;SoCC '21: Proceedings of the ACM Symposium on Cloud Computing;;;We propose MindPalace, a prototype of a versioned database for efficient collaborative data management. MindPalace supports offline collaboration, where users work independently without real-time correspondence. The core of MindPalace is a critical step of offline collaboration: reconciling divergent branches made by simultaneous data manipulation. We formalize the concept of auto-mergeability, a condition under which branches may be reconciled without human intervention, and propose an efficient framework for determining whether two branches are auto-mergeable and identifying particular records for manual reconciliation.;;;https://dl.acm.org/doi/10.1145/3472883.3486980;;;Databases
Enabling personal consent in databases;;;['George Konstantinidis', 'Jet Holt', 'Adriane Chapman'];;;None;;;Proceedings of the VLDB Endowment;;;Users have the right to consent to the use of their data, but current methods are limited to very coarse-grained expressions of consent, as "opt-in/opt-out" choices for certain uses. In this paper we identify the need for fine-grained consent management and formalize how to express and manage user consent and personal contracts of data usage in relational databases. Unlike privacy approaches, our focus is not on preserving confidentiality against an adversary, but rather cooperate with a trusted service provider to abide by user preferences in an algorithmic way. Our approach enables data owners to express the intended data usage in formal specifications, that we call consent constraints, and enables a service provider that wants to honor these constraints, to automatically do so by filtering query results that violate consent; rather than both sides relying on "terms of use" agreements written in natural language. We provide formal foundations (based on provenance), algorithms (based on unification and query rewriting), connections to data privacy, and complexity results for supporting consent in databases. We implement our framework in an open source RDBMS, and provide an evaluation against the most relevant privacy approach using the TPC-H benchmark, and on a real dataset of ICU data.;;;https://dl.acm.org/doi/10.14778/3489496.3489516;;;Databases
Query Games in Databases;;;['Ester Livshits', 'Leopoldo Bertossi', 'Benny Kimelfeld', 'Moshe Sebag'];;;March 2021;;;ACM SIGMOD Record;;;Database tuples can be seen as players in the game of jointly realizing the answer to a query. Some tuples may contribute more than others to the outcome, which can be a binary value in the case of a Boolean query, a number for a numerical aggregate query, and so on. To quantify the contributions of tuples, we use the Shapley value that was introduced in cooperative game theory and has found applications in a plethora of domains. Specifically, the Shapley value of an individual tuple quantifies its contribution to the query. We investigate the applicability of the Shapley value in this setting, as well as the computational aspects of its calculation in terms of complexity, algorithms, and approximation.;;;https://dl.acm.org/doi/10.1145/3471485.3471504;;;Databases
Retrofitting GDPR compliance onto legacy databases;;;['Archita Agarwal', 'Marilyn George', 'Aaron Jeyaraj', 'Malte Schwarzkopf'];;;None;;;Proceedings of the VLDB Endowment;;;New privacy laws like the European Union's General Data Protection Regulation (GDPR) require database administrators (DBAs) to identify all information related to an individual on request, e.g., to return or delete it. This requires time-consuming manual labor today, particularly for legacy schemas and applications.In this paper, we investigate what it takes to provide mostly-automated tools that assist DBAs in GDPR-compliant data extraction for legacy databases. We find that a combination of techniques is needed to realize a tool that works for the databases of real-world applications, such as web applications, which may violate strict normal forms or encode data relationships in bespoke ways. Our tool, GDPRizer, relies on foreign keys, query logs that identify implied relationships, data-driven methods, and coarse-grained annotations provided by the DBA to extract an individual's data.In a case study with three popular web applications, GDPRizer achieves 100% precision and 96--100% recall. GDPRizer saves work compared to hand-written queries, and while manual verification of its outputs is required, GDPRizer simplifies privacy compliance.;;;https://dl.acm.org/doi/10.14778/3503585.3503603;;;Databases
DP-Sync: Hiding Update Patterns in Secure Outsourced Databases with Differential Privacy;;;['Chenghong Wang', 'Johes Bater', 'Kartik Nayak', 'Ashwin Machanavajjhala'];;;June 2021;;;SIGMOD '21: Proceedings of the 2021 International Conference on Management of Data;;;In this paper, we consider privacy-preserving update strategies for secure outsourced growing databases. Such databases allow appendonly data updates on the outsourced data structure while analysis is ongoing. Despite a plethora of solutions to securely outsource database computation, existing techniques do not consider the information that can be leaked via update patterns. To address this problem, we design a novel secure outsourced database framework for growing data, DP-Sync, which interoperate with a large class of existing encrypted databases and supports efficient updates while providing differentially-private guarantees for any single update. We demonstrate DP-Sync's practical feasibility in terms of performance and accuracy with extensive empirical evaluations on real world datasets.;;;https://dl.acm.org/doi/10.1145/3448016.3457306;;;Databases
Efficient Discovery of Functional Dependencies from Incremental Databases;;;['Loredana Caruccio', 'Stefano Cirillo', 'Vincenzo Deufemia', 'Giuseppe Polese'];;;November 2021;;;iiWAS2021: The 23rd International Conference on Information Integration and Web Intelligence;;;With the advent of Big Data there is an increasing necessity to incrementally mine information from data originating from sensors and other dynamic sources. Thus, it is necessary to devise algorithms capable of mining useful information upon possible evolutions of databases. Among these, there are certainly data profiling info, such as functional dependencies (fd for short), which are particularly useful for data integration and for assessing the quality of data. The incremental scenario requires the definition of search strategies and validation methods able to analyze only the portion of the dataset affected by the last changes. In this paper, we propose a new validation method, which exploits regular expressions and compressed data structures to efficiently verify whether a candidate fd holds on an updated version of the dataset. Experimental results demonstrate the effectiveness of the proposed method on real-world datasets adapted for incremental scenarios, also compared with a baseline incremental fd discovery algorithm.;;;https://dl.acm.org/doi/10.1145/3487664.3487719;;;Databases
COMPASS: Online Sketch-based Query Optimization for In-Memory Databases;;;['Yesdaulet Izenov', 'Asoke Datta', 'Florin Rusu', 'Jun Hyung Shin'];;;June 2021;;;SIGMOD '21: Proceedings of the 2021 International Conference on Management of Data;;;Cost-based query optimization remains a critical task in relational databases even after decades of research and industrial development. Query optimizers rely on a large range of statistical synopses for accurate cardinality estimation. As the complexity of selections and the number of join predicates increase, two problems arise. First, statistics cannot be incrementally composed to effectively estimate the cost of the sub-plans generated in plan enumeration. Second, small errors are propagated exponentially through joins, which can lead to severely sub-optimal plans. In this paper, we introduce COMPASS, a novel query optimization paradigm for in-memory databases based on a single type of statistics---Fast-AGMS sketches. In COMPASS, query optimization and execution are intertwined. Selection predicates and sketch updates are pushed-down and evaluated online during query optimization. This allows Fast-AGMS sketches to be computed only over the relevant tuples---which enhances cardinality estimation accuracy. Plan enumeration is performed over the query join graph by incrementally composing attribute-level sketches---not by building a separate sketch for every sub-plan. We prototype COMPASS in MapD -- an open-source parallel database -- and perform extensive experiments over the complete JOB benchmark. The results prove that COMPASS generates better execution plans -- both in terms of cardinality and runtime -- compared to four other database systems. Overall, COMPASS achieves a speedup ranging from 1.35X to 11.28X in cumulative query execution time over the considered competitors.;;;https://dl.acm.org/doi/10.1145/3448016.3452840;;;Databases
εpsolute: Efficiently Querying Databases While Providing Differential Privacy;;;['Dmytro Bogatov', 'Georgios Kellaris', 'George Kollios', 'Kobbi Nissim', "Adam O'Neill"];;;November 2021;;;CCS '21: Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security;;;As organizations struggle with processing vast amounts of information, outsourcing sensitive data to third parties becomes a necessity. To protect the data, various cryptographic techniques are used in outsourced database systems to ensure data privacy, while allowing efficient querying. A rich collection of attacks on such systems has emerged. Even with strong cryptography, just communication volume or access pattern is enough for an adversary to succeed. In this work we present a model for differentially private outsourced database system and a concrete construction, εpsolute, that provably conceals the aforementioned leakages, while remaining efficient and scalable. In our solution, differential privacy is preserved at the record level even against an untrusted server that controls data and queries. εpsolute combines Oblivious RAM and differentially private sanitizers to create a generic and efficient construction. We go further and present a set of improvements to bring the solution to efficiency and practicality necessary for real-world adoption. We describe the way to parallelize the operations, minimize the amount of noise, and reduce the number of network requests, while preserving the privacy guarantees. We have run an extensive set of experiments, dozens of servers processing up to 10 million records, and compiled a detailed result analysis proving the efficiency and scalability of our solution. While providing strong security and privacy guarantees we are less than an order of magnitude slower than range query execution of a non-secure plain-text optimized RDBMS like MySQL and PostgreSQL.;;;https://dl.acm.org/doi/10.1145/3460120.3484786;;;Databases
PRISM: Private Verifiable Set Computation over Multi-Owner Outsourced Databases;;;['Yin Li', 'Dhrubajyoti Ghosh', 'Peeyush Gupta', 'Sharad Mehrotra', 'Nisha Panwar', 'Shantanu Sharma'];;;June 2021;;;SIGMOD '21: Proceedings of the 2021 International Conference on Management of Data;;;This paper proposes Prism, a secret sharing based approach to compute private set operations (i.e., intersection and union), as well as aggregates over outsourced databases belonging to multiple owners. Prism enables data owners to pre-load the data onto non-colluding servers and exploits the additive and multiplicative properties of secret-shares to compute the above-listed operations in (at most) two rounds of communication between the servers (storing the secret-shares) and the querier, resulting in a very efficient implementation. Also, Prism does not require communication among the servers and supports result verification techniques for each operation to detect malicious adversaries. Experimental results show that Prism scales both in terms of the number of data owners and database sizes, to which prior approaches do not scale.;;;https://dl.acm.org/doi/10.1145/3448016.3452839;;;Databases
Exploring Ratings in Subjective Databases;;;['Sihem Amer-Yahia', 'Tova Milo', 'Brit Youngmann'];;;June 2021;;;SIGMOD '21: Proceedings of the 2021 International Conference on Management of Data;;;Subjective data links people to content items and reflects who likes or dislikes what. The valuable information this data contains is virtually infinite and satisfies various information needs. Yet, as of today, dedicated tools to explore this data are lacking. In this paper, we develop a framework for Subjective Data Exploration (SDE). Our solution enables the joint exploration of items, people, and people's opinions on items, in a guided multi-step process where each step aggregates the most useful and diverse trends in the form of rating maps. Because of the large search space of possible rating maps, we leverage pruning strategies based on confidence intervals and multi-armed bandits. Our large-scale experiments with human subjects and real datasets, demonstrate the need for dedicated SDE frameworks and the effectiveness and efficiency of our approach.;;;https://dl.acm.org/doi/10.1145/3448016.3457259;;;Databases
ResTune: Resource Oriented Tuning Boosted by Meta-Learning for Cloud Databases;;;['Xinyi Zhang', 'Hong Wu', 'Zhuo Chang', 'Shuowei Jin', 'Jian Tan', 'Feifei Li', 'Tieying Zhang', 'Bin Cui'];;;June 2021;;;SIGMOD '21: Proceedings of the 2021 International Conference on Management of Data;;;Modern database management systems (DBMS) contain tens to hundreds of critical performance tuning knobs that determine the system runtime behaviors. To reduce the total cost of ownership, cloud database providers put in drastic effort to automatically optimize the resource utilization by tuning these knobs. There are two challenges. First, the tuning system should always abide by the service level agreement (SLA) while optimizing the resource utilization, which imposes strict constrains on the tuning process. Second, the tuning time should be reasonably acceptable since time-consuming tuning is not practical for production and online troubleshooting. In this paper, we design ResTune to automatically optimize the resource utilization without violating SLA constraints on the throughput and latency requirements. ResTune leverages the tuning experience from the history tasks and transfers the accumulated knowledge to accelerate the tuning process of the new tasks. The prior knowledge is represented from historical tuning tasks through an ensemble model. The model learns the similarity between the historical workloads and the target, which significantly reduces the tuning time by a meta-learning based approach. ResTune can efficiently handle different workloads and various hardware environments. We perform evaluations using benchmarks and real world workloads on different types of resources. The results show that, compared with the manually tuned configurations, ResTune reduces 65%, 87%, 39% of CPU utilization, I/O and memory on average, respectively. Compared with the state-of-the-art methods, ResTune finds better configurations with up to ~18x speedups.;;;https://dl.acm.org/doi/10.1145/3448016.3457291;;;Databases
Similarity Association Pattern Mining in Transaction Databases;;;['Phridviraj M.S.B', 'Guru Rao C.V', 'Radhakrishna Vangipuram', 'Aravind Cheruvu'];;;April 2021;;;DATA'21: International Conference on Data Science, E-learning and Information Systems 2021;;;Association pattern mining is a method of finding interesting relationships or patterns between item sets present in each of the transactions of the transactional databases. Current researchers in this area are focusing on the data mining task of finding frequent patterns among the item sets based on the interestingness measures like the support and confidence which is called as Frequent pattern mining. Till date, in existing frequent pattern mining algorithms, an itemset is said to be frequent if the support of the itemset satisfies the minimum support input. In this paper, the objective of our algorithm is to find interesting patterns among the item sets based on a Gaussian similarity for an input reference threshold which is first of its kind in the research literature. This study is limited to outlining naïve approach of mining frequent itemsets which requires validating every itemset to verify if the itemset is frequent or not.;;;https://dl.acm.org/doi/10.1145/3460620.3460752;;;Databases
Identification of Corresponding Numerical Attributes in Heterogeneous Databases Based on Instances;;;['Kenji Nozaki', 'Teruhisa Hochin', 'Hiroki Nomiya'];;;June 2021;;;ACIT '21: Proceedings of the the 8th International Virtual Conference on Applied Computing &amp; Information Technology;;;Identification of attributes in heterogeneous databases is widely known as the schema matching problem, and many studies have been published. Although existing studies using schema information have been proposed, schema information cannot always be used. In such a case, a schema matching method using instances is used as an alternative method, which is called instance-based schema matching. In this paper, we propose an instance-based schema matching method for the attributes storing numerical data. It uses data distributions and correlations between two attributes. The proposed method is experimentally evaluated by using several databases. As a result, the proposed method could find appropriate attribute correspondences.;;;https://dl.acm.org/doi/10.1145/3468081.3471083;;;Databases
ReStore - Neural Data Completion for Relational Databases;;;['Benjamin Hilprecht', 'Carsten Binnig'];;;June 2021;;;SIGMOD '21: Proceedings of the 2021 International Conference on Management of Data;;;Classical approaches for OLAP assume that the data of all tables is complete. However, in case of incomplete tables with missing tuples, classical approaches fail since the result of a SQL aggregate query might significantly differ from the results computed on the full dataset. Today, the only way to deal with missing data is to manually complete the dataset which causes not only high efforts but also requires good statistical skills to determine when a dataset is actually complete. In this paper, we propose an automated approach for relational data completion called ReStore using a new class of (neural) schema-structured completion models that are able to synthesize data which resembles the missing tuples. As we show in our evaluation, this efficiently helps to reduce the relative error of aggregate queries by up to 390% on real-world data compared to using the incomplete data directly for query answering.;;;https://dl.acm.org/doi/10.1145/3448016.3457264;;;Databases
